iter	Passed	Remaining
700	2548	1086
701	2551	1083
702	2554	1079
703	2557	1075
704	2561	1071
705	2564	1067
706	2567	1064
707	2571	1060
708	2574	1056
709	2578	1053
710	2581	1049
711	2584	1045
712	2587	1041
713	2591	1038
714	2594	1034
715	2598	1030
716	2601	1026
717	2605	1023
718	2608	1019
719	2611	1015
720	2615	1011
721	2618	1008
722	2621	1004
723	2625	1000
724	2629	997
725	2632	993
726	2635	989
727	2639	986
728	2642	982
729	2645	978
730	2648	974
731	2652	971
732	2655	967
733	2658	963
734	2662	959
735	2665	956
736	2669	952
737	2672	948
738	2676	945
739	2679	941
740	2683	937
741	2687	934
742	2691	931
743	2696	927
744	2700	924
745	2704	920
746	2707	917
747	2710	913
748	2714	909
749	2717	905
750	2720	902
751	2724	898
752	2727	894
753	2731	891
754	2734	887
755	2738	883
756	2741	880
757	2744	876
758	2747	872
759	2751	868
760	2754	865
761	2758	861
762	2761	857
763	2764	854
764	2768	850
765	2771	846
766	2774	842
767	2778	839
768	2781	835
769	2785	831
770	2788	828
771	2791	824
772	2795	820
773	2798	817
774	2801	813
775	2805	809
776	2808	806
777	2811	802
778	2815	798
779	2819	795
780	2822	791
781	2825	787
782	2828	783
783	2832	780
784	2835	776
785	2839	772
786	2842	769
787	2845	765
788	2849	761
789	2852	758
790	2855	754
791	2859	750
792	2862	747
793	2866	743
794	2869	740
795	2873	736
796	2876	732
797	2881	729
798	2885	725
799	2889	722
800	2893	718
801	2898	715
802	2901	711
803	2904	708
804	2908	704
805	2911	700
806	2915	697
807	2918	693
808	2922	690
809	2926	686
810	2929	682
811	2933	679
812	2936	675
813	2939	671
814	2943	668
815	2946	664
816	2949	660
817	2953	657
818	2956	653
819	2960	649
820	2963	646
821	2966	642
822	2969	638
823	2973	635
824	2976	631
825	2979	627
826	2983	624
827	2986	620
828	2989	616
829	2993	613
830	2996	609
831	2999	605
832	3002	602
833	3006	598
834	3009	594
835	3013	591
836	3016	587
837	3020	583
838	3023	580
839	3026	576
840	3030	572
841	3033	569
842	3037	565
843	3040	561
844	3044	558
845	3047	554
846	3051	551
847	3054	547
848	3058	543
849	3061	540
850	3064	536
851	3068	533
852	3072	529
853	3075	525
854	3078	522
855	3083	518
856	3087	515
857	3096	512
858	3103	509
859	3108	506
860	3115	502
861	3119	499
862	3122	495
863	3125	492
864	3129	488
865	3132	484
866	3136	481
867	3139	477
868	3143	473
869	3146	470
870	3149	466
871	3153	462
872	3156	459
873	3159	455
874	3163	451
875	3166	448
876	3169	444
877	3173	440
878	3176	437
879	3179	433
880	3183	429
881	3186	426
882	3189	422
883	3193	419
884	3196	415
885	3200	411
886	3203	408
887	3206	404
888	3210	400
889	3214	397
890	3217	393
891	3220	389
892	3223	386
893	3227	382
894	3231	379
895	3234	375
896	3237	371
897	3240	368
898	3244	364
899	3247	360
900	3250	357
901	3254	353
902	3257	349
903	3261	346
904	3264	342
905	3268	339
906	3271	335
907	3275	331
908	3278	328
909	3283	324
910	3287	321
911	3291	317
912	3295	314
913	3299	310
914	3303	306
915	3306	303
916	3310	299
917	3313	296
918	3327	293
919	3331	289
920	3334	286
921	3338	282
922	3341	278
923	3344	275
924	3347	271
925	3351	267
926	3354	264
927	3357	260
928	3361	256
929	3364	253
930	3368	249
931	3371	245
932	3374	242
933	3378	238
934	3381	235
935	3384	231
936	3387	227
937	3391	224
938	3394	220
939	3397	216
940	3400	213
941	3404	209
942	3407	205
943	3411	202
944	3414	198
945	3418	195
946	3421	191
947	3424	187
948	3427	184
949	3431	180
950	3435	176
951	3438	173
952	3442	169
953	3445	166
954	3449	162
955	3452	158
956	3455	155
957	3459	151
958	3462	148
959	3466	144
960	3469	140
961	3472	137
962	3476	133
963	3479	129
964	3482	126
965	3486	122
966	3490	119
967	3495	115
968	3499	111
969	3503	108
970	3507	104
971	3510	101
972	3513	97
973	3517	93
974	3520	90
975	3523	86
976	3527	83
977	3531	79
978	3534	75
979	3538	72
980	3541	68
981	3545	64
982	3548	61
983	3551	57
984	3555	54
985	3558	50
986	3562	46
987	3565	43
988	3568	39
989	3572	36
990	3575	32
991	3579	28
992	3582	25
993	3585	21
994	3588	18
995	3592	14
996	3595	10
997	3598	7
998	3601	3
999	3605	0
